"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","296-21435-5-ND","UCC27201D","IC GATE DRVR HALF-BRIDGE 8SOIC","","0","2","2.93000","5.86"
"2","10","846-BSS138BKWT106CT-ND","BSS138BKWT106","NCH 60V 380MA, SOT-323, SMALL SI","","10","0","0.32600","3.26"
"3","4","1801-TSM3401CXRFGCT-ND","TSM3401CX RFG","MOSFET P-CHANNEL 30V 3A SOT23","","4","0","0.58000","2.32"
"4","4","VEMD10940FCT-ND","VEMD10940F","PHOTODIODE 790 TO 1050 NM","","4","0","0.40000","1.60"
"5","4","ZXTP19020DFFCT-ND","ZXTP19020DFFTA","TRANS PNP 20V 5.5A SOT23F-3","","4","0","0.83000","3.32"
"6","10","3757-BAS100AS-AU_R1_000A1CT-ND","BAS100AS-AU_R1_000A1","SOD-123, SKY","","10","0","0.28500","2.85"
"7","5","RNCF0603DTE16K0CT-ND","RNCF0603DTE16K0","RES 16K OHM 0.5% 1/10W 0603","","5","0","0.13000","0.65"
"8","5","TSPB15U100SS1GCT-ND","TSPB15U100S S1G","DIODE SCHOTTKY 100V 15A SMPC4.0","","5","0","1.71000","8.55"
